port,prov,kode_hirarki,geometry,h3
Batutua,Nusa Tenggara Timur,PL,"POLYGON ((-10.833635387419836 123.01753274799383, -10.8975611458167 123.01753962833202, -10.8975611458167 122.952860371668, -10.833635387419836 122.95286725200619, -10.833635387419836 123.01753274799383))","['88943138edfffff', '8894313a33fffff', '8894313849fffff', '8894313855fffff', '8894313a3dfffff', '8894313841fffff', '88943138cdfffff', '8894313813fffff', '8894313a2bfffff', '8894313845fffff', '8894313843fffff', '8894313853fffff', '8894313aedfffff', '8894313a31fffff', '8894313803fffff', '8894313861fffff', '8894313a8dfffff', '8894313ae5fffff', '8894313815fffff', '8894313807fffff', '889431380dfffff', '8894313aa7fffff', '8894313811fffff', '8894313aa9fffff', '8894313a35fffff', '889431384dfffff', '8894313ae3fffff', '8894313859fffff', '8894313a23fffff', '88943138c5fffff', '8894313ae1fffff', '8894313829fffff', '889431383bfffff', '88943138e9fffff', '889431381dfffff', '8894313819fffff', '889431395bfffff', '8894313ae7fffff', '889431386bfffff', '8894313805fffff', '8894313a85fffff', '8894313aebfffff', '889431385bfffff', '8894313a39fffff', '8894313a3bfffff', '8894313817fffff', '8894313aa5fffff', '8894313851fffff', '8894313a81fffff', '8894313aadfffff', '8894313a87fffff', '8894313801fffff', '8894313863fffff', '8894313809fffff', '8894313839fffff', '889431381bfffff', '8894313a37fffff', '88943138e1fffff', '8894313aabfffff', '889431385dfffff', '889431383dfffff', '889431384bfffff', '889431382bfffff', '8894313857fffff', '889431380bfffff', '8894313847fffff', '8894313867fffff', '8894313aa1fffff', '8894313aa3fffff']"
Ndao,Nusa Tenggara Timur,PP,"POLYGON ((-10.784035292829346 122.7089274391061, -10.847961256579033 122.70893428615544, -10.847961256579033 122.64426571384455, -10.784035292829346 122.64427256089388, -10.784035292829346 122.7089274391061))","['88943118d3fffff', '889431010bfffff', '8894310101fffff', '889431016bfffff', '8894310143fffff', '889431012bfffff', '8894310109fffff', '889431189bfffff', '8894311897fffff', '88943118b1fffff', '8894310337fffff', '8894310137fffff', '889431010dfffff', '889431013dfffff', '8894311891fffff', '8894310161fffff', '889431189dfffff', '889431016dfffff', '8894311895fffff', '8894310ac9fffff', '88943118b3fffff', '8894310121fffff', '8894310a55fffff', '8894310a43fffff', '8894310141fffff', '8894310153fffff', '88943118b7fffff', '8894310323fffff', '8894310327fffff', '88943118bbfffff', '8894310a53fffff', '8894310067fffff', '8894310157fffff', '8894310149fffff', '8894311899fffff', '8894310163fffff', '8894310165fffff', '889431013bfffff', '889431014bfffff', '889431015dfffff', '8894310169fffff', '8894310335fffff', '8894310a5bfffff', '8894310147fffff', '8894310a5dfffff', '8894310a57fffff', '8894310119fffff', '889431012dfffff', '8894310129fffff', '889431011dfffff', '8894310115fffff', '889431014dfffff', '8894310325fffff', '8894310155fffff', '8894310151fffff', '889431015bfffff', '8894310159fffff', '8894310131fffff', '8894310103fffff', '8894310123fffff', '8894310145fffff', '8894310125fffff', '8894311893fffff', '8894310135fffff', '8894310105fffff', '8894310a51fffff', '8894310107fffff', '8894310a59fffff', '8894310139fffff', '8894310127fffff', '8894310167fffff']"
Baa,Nusa Tenggara Timur,PL,"POLYGON ((-10.69193511836843 123.07631764974681, -10.755861461055844 123.07632443505396, -10.755861461055844 123.01167556494603, -10.69193511836843 123.01168235025318, -10.69193511836843 123.07631764974681))","['8894313007fffff', '889431302bfffff', '8894313039fffff', '88943132ebfffff', '8894313017fffff', '88943130c5fffff', '889431304bfffff', '88943132edfffff', '889431300dfffff', '8894313285fffff', '8894313233fffff', '88943132a7fffff', '8894313019fffff', '88943132bdfffff', '8894313057fffff', '88943132adfffff', '889431301bfffff', '8894313231fffff', '88943132a1fffff', '8894313041fffff', '889431303bfffff', '8894313013fffff', '88943130c7fffff', '8894313047fffff', '88943132e1fffff', '8894313051fffff', '8894313237fffff', '8894313239fffff', '8894313063fffff', '8894313043fffff', '88943132a5fffff', '8894313287fffff', '88943132e9fffff', '88943130edfffff', '88943130ebfffff', '889431328bfffff', '889431305dfffff', '88943132a9fffff', '8894313001fffff', '8894313003fffff', '88943130c9fffff', '88943132abfffff', '88943132e3fffff', '8894313281fffff', '88943130cdfffff', '889431301dfffff', '889431300bfffff', '8894313055fffff', '8894313053fffff', '88943132e5fffff', '889431306bfffff', '8894313011fffff', '88943130e9fffff', '8894313235fffff', '88943132b5fffff', '889431323bfffff', '8894313059fffff', '889431328dfffff', '8894313283fffff', '8894313009fffff', '88943132a3fffff', '8894313005fffff', '88943132e7fffff', '889431305bfffff', '889431323dfffff', '8894313015fffff', '8894313029fffff', '88943130c1fffff']"
Raijua,Nusa Tenggara Timur,PL,"POLYGON ((-10.569434888701918 121.65010476689123, -10.633361730620106 121.65011147021704, -10.633361730620106 121.58548852978296, -10.569434888701918 121.58549523310877, -10.569434888701918 121.65010476689123))","['8894308ea9fffff', '8894308ec7fffff', '8894308c4dfffff', '8894308c5dfffff', '8894308c41fffff', '8894308e0bfffff', '8894308e13fffff', '8894308f1bfffff', '8894308c53fffff', '8894308e37fffff', '8894308e63fffff', '8894308c6dfffff', '8894308e8dfffff', '8894308e05fffff', '8894308c09fffff', '8894308c61fffff', '8894308c0dfffff', '8894308c55fffff', '8894308c03fffff', '8894308e11fffff', '8894308e25fffff', '8894308e0dfffff', '8894308eebfffff', '8894308ee3fffff', '8894308eadfffff', '8894308ee7fffff', '8894308e35fffff', '8894308c11fffff', '8894308e3bfffff', '8894308c43fffff', '8894308c51fffff', '8894308ee9fffff', '8894308f13fffff', '8894308e31fffff', '8894308c4bfffff', '8894308c19fffff', '8894308eedfffff', '8894308e2bfffff', '8894308ec5fffff', '8894308c5bfffff', '8894308c1dfffff', '8894308e1dfffff', '8894308ea5fffff', '8894308e23fffff', '8894308ecdfffff', '8894308e29fffff', '8894308e07fffff', '8894308e15fffff', '8894308e03fffff', '8894308e01fffff', '8894308c49fffff', '8894308e17fffff', '8894308c0bfffff', '8894308c57fffff', '8894308ea1fffff', '8894308f17fffff', '8894308c69fffff', '8894308ee1fffff', '8894308c1bfffff', '8894308e39fffff', '8894308c47fffff', '8894308ee5fffff', '8894308c45fffff', '8894308e33fffff', '8894308e21fffff', '8894308e27fffff', '8894308ec1fffff', '8894308c59fffff', '8894308e3dfffff', '8894308c6bfffff', '8894308c01fffff']"
Papela,Nusa Tenggara Timur,PL,"POLYGON ((-10.56673488367051 123.41170448471165, -10.630661736530556 123.41171118623232, -10.630661736530556 123.34708881376768, -10.56673488367051 123.34709551528836, -10.56673488367051 123.41170448471165))","['889404c1e5fffff', '889404c029fffff', '889404c151fffff', '889404c153fffff', '889404c10bfffff', '889404c001fffff', '889404c067fffff', '889404c035fffff', '889404c003fffff', '889404c031fffff', '889404c15dfffff', '889404c139fffff', '889404c1e9fffff', '889404c1d5fffff', '889404c007fffff', '889404c111fffff', '889404c119fffff', '889404c1e3fffff', '889404c11dfffff', '889404c133fffff', '889404c021fffff', '889404c039fffff', '889404c1cdfffff', '889404c185fffff', '889404c1cbfffff', '889404c187fffff', '889404c06dfffff', '889404c1c1fffff', '889404c101fffff', '889404c1e1fffff', '889404c11bfffff', '889404c005fffff', '889404c1ddfffff', '889404c027fffff', '889404c157fffff', '889404c13bfffff', '889404c1c3fffff', '889404c131fffff', '889404c155fffff', '889404c061fffff', '889404c025fffff', '889404c037fffff', '889404c03dfffff', '889404c017fffff', '889404c065fffff', '889404c1d9fffff', '889404c107fffff', '889404c1c5fffff', '889404c02bfffff', '889404c1c7fffff', '889404c159fffff', '889404c1ebfffff', '889404c063fffff', '889404c1c9fffff', '889404c03bfffff', '889404c117fffff', '889404c15bfffff', '889404c333fffff', '889404c02dfffff', '889404c103fffff', '889404c113fffff', '889404c189fffff', '889404c18dfffff', '889404c033fffff', '889404c1edfffff', '889404c115fffff', '889404c015fffff', '889404c181fffff', '889404c13dfffff', '889404c023fffff']"
Biu,Nusa Tenggara Timur,PL,"POLYGON ((-10.475934715236361 122.03009503949589, -10.5398619345187 122.03010168035489, -10.5398619345187 121.9654983196451, -10.475934715236361 121.9655049605041, -10.475934715236361 122.03009503949589))","['889430b5dbfffff', '889430b583fffff', '889430b5b9fffff', '889430b59dfffff', '889430b5bdfffff', '889430b5cbfffff', '889430b587fffff', '889430b5c9fffff', '889430b5b1fffff', '889430b427fffff', '889430b4abfffff', '889430b5b7fffff', '889430b585fffff', '889430b597fffff', '889430b581fffff', '889430b431fffff', '889430b59bfffff', '889430b5b3fffff', '889430b593fffff', '889430b5a9fffff', '889430b5ebfffff', '889430b599fffff', '889430b5adfffff', '889430b5d1fffff', '889430b5d3fffff', '889430b5d7fffff', '889430b5e7fffff', '889430b433fffff', '889430b4a1fffff', '889430b5bbfffff', '889430a2dbfffff', '889430b5d5fffff', '889430b591fffff', '889430b4e3fffff', '889430a64dfffff', '889430b4a5fffff', '889430b5c1fffff', '889430b5cdfffff', '889430b5a5fffff', '889430a665fffff', '889430a661fffff', '889430b5abfffff', '889430b5c7fffff', '889430b5e3fffff', '889430b4e5fffff', '889430b5b5fffff', '889430b5a3fffff', '889430b595fffff', '889430a2d3fffff', '889430b423fffff', '889430b5e5fffff', '889430b4a7fffff', '889430b485fffff', '889430b58bfffff', '889430b435fffff', '889430a669fffff', '889430b589fffff', '889430b5a1fffff', '889430b513fffff', '889430b5c5fffff', '889430b5e9fffff', '889430b5e1fffff', '889430b5ddfffff', '889430a66dfffff', '889430b437fffff', '889430b5d9fffff', '889430b4adfffff', '889430b4a9fffff', '889430b5c3fffff', '889430b58dfffff', '889430b4e7fffff']"
Seba,Nusa Tenggara Timur,PP,"POLYGON ((-10.45773468165538 121.8702931566557, -10.521661974021598 121.87029978536604, -10.521661974021598 121.80570021463394, -10.45773468165538 121.80570684334428, -10.45773468165538 121.8702931566557))","['889430b00dfffff', '889430b041fffff', '889430b0e9fffff', '889430b027fffff', '889430b0cdfffff', '889430b013fffff', '889430b01dfffff', '889430b1d7fffff', '889430b1d9fffff', '889430b02dfffff', '889430b0e5fffff', '889430b003fffff', '889430b021fffff', '889430b1c1fffff', '889430b1ddfffff', '889430b001fffff', '889430b1c3fffff', '889430b005fffff', '889430b053fffff', '889430b02bfffff', '889430b01bfffff', '889430b0c9fffff', '889430b03bfffff', '889430b0c5fffff', '889430b1c5fffff', '889430b019fffff', '889430b029fffff', '889430b199fffff', '889430b0e3fffff', '889430b037fffff', '889430b039fffff', '889430b031fffff', '889430b007fffff', '889430b00bfffff', '889430b0c1fffff', '889430b113fffff', '889430b2a7fffff', '889430b03dfffff', '889430b0a9fffff', '889430b057fffff', '889430b1c7fffff', '889430b0e7fffff', '889430b0edfffff', '889430b1cbfffff', '889430b1cdfffff', '889430b0e1fffff', '889430b0a5fffff', '889430b055fffff', '889430b011fffff', '889430b1c9fffff', '889430b033fffff', '889430b0adfffff', '889430b1d3fffff', '889430b0ebfffff', '889430b2a5fffff', '889430b111fffff', '889430b11bfffff', '889430b0c7fffff', '889430b023fffff', '889430b1dbfffff', '889430b017fffff', '889430b009fffff', '889430b043fffff', '889430b025fffff', '889430b1d1fffff', '889430b063fffff', '889430b015fffff', '889430b047fffff', '889430b0cbfffff', '889430b035fffff', '889430b1d5fffff']"
Pulau Salura,Nusa Tenggara Timur,PL,"POLYGON ((-10.280534357848849 120.21397500544481, -10.344462355452604 120.21398151605212, -10.344462355452604 120.1494184839479, -10.280534357848849 120.1494249945552, -10.280534357848849 120.21397500544481))","['8895a939e5fffff', '8895a939ebfffff', '8895a97699fffff', '8895a976c3fffff', '8895a976d3fffff', '8895a9391bfffff', '8895a9398dfffff', '8895a93987fffff', '8895a9393bfffff', '8895a939c5fffff', '8895a93931fffff', '8895a939edfffff', '8895a93827fffff', '8895a92b49fffff', '8895a939d1fffff', '8895a939d9fffff', '8895a976cbfffff', '8895a939c7fffff', '8895a976c9fffff', '8895a939c1fffff', '8895a93989fffff', '8895a93917fffff', '8895a93913fffff', '8895a93825fffff', '8895a976ddfffff', '8895a939a9fffff', '8895a939a7fffff', '8895a939d5fffff', '8895a93983fffff', '8895a93911fffff', '8895a939abfffff', '8895a939e1fffff', '8895a93985fffff', '8895a9398bfffff', '8895a93935fffff', '8895a976d7fffff', '8895a939e9fffff', '8895a93837fffff', '8895a939e7fffff', '8895a9391dfffff', '8895a9390bfffff', '8895a939a5fffff', '8895a939adfffff', '8895a93835fffff', '8895a939c3fffff', '8895a939cbfffff', '8895a93939fffff', '8895a93937fffff', '8895a939b5fffff', '8895a976dbfffff', '8895a939c9fffff', '8895a93981fffff', '8895a93915fffff', '8895a976d9fffff', '8895a93923fffff', '8895a976c7fffff', '8895a976d5fffff', '8895a939e3fffff', '8895a976c5fffff', '8895a93957fffff', '8895a939ddfffff', '8895a939a3fffff', '8895a9393dfffff', '8895a93955fffff', '8895a939cdfffff', '8895a93919fffff', '8895a976c1fffff', '8895a93933fffff', '8895a939a1fffff', '8895a93903fffff', '8895a93953fffff', '8895a939bdfffff', '8895a93907fffff', '8895a976d1fffff']"
Baing,Nusa Tenggara Timur,PL,"POLYGON ((-10.207834226653624 120.60286765316982, -10.271762510272392 120.60287411541618, -10.271762510272392 120.53832588458381, -10.207834226653624 120.53833234683017, -10.207834226653624 120.60286765316982))","['8894345333fffff', '8894345109fffff', '8895a92483fffff', '8895a924d3fffff', '889434514bfffff', '8894345167fffff', '8894345a4bfffff', '8894345337fffff', '8895a924bdfffff', '8894345163fffff', '889434512bfffff', '889434516bfffff', '8894345141fffff', '8894345a5bfffff', '8894345065fffff', '8894345329fffff', '8894345165fffff', '8895a924dbfffff', '8895a92499fffff', '8894345331fffff', '8894345a5dfffff', '8894345101fffff', '889434533dfffff', '8894345147fffff', '8894345107fffff', '889434532bfffff', '8894345155fffff', '889434516dfffff', '8894345145fffff', '8894345143fffff', '8895a9249dfffff', '8895a9249bfffff', '8894345103fffff', '8895a924b5fffff', '889434515dfffff', '8894345327fffff', '8894345121fffff', '889434512dfffff', '8894345a59fffff', '8894345325fffff', '8894345169fffff', '8894345321fffff', '8894345a49fffff', '8895a924b3fffff', '8895a9248bfffff', '8895a92497fffff', '889434532dfffff', '889434514dfffff', '8895a924b9fffff', '8895a92487fffff', '8895a924b1fffff', '8895a924d7fffff', '8895a92495fffff', '889434506dfffff', '8894345323fffff', '8894345105fffff', '8894345159fffff', '8895a92491fffff', '8895a924b7fffff', '8894345151fffff', '889434510bfffff', '8895a924d1fffff', '8895a924bbfffff', '889434510dfffff', '8895a92493fffff', '889434513dfffff', '8895a924d9fffff', '8894345335fffff', '8894345149fffff', '8894345157fffff', '8894345129fffff', '8894345161fffff']"
Tenau/ Kupang and Nunbaun Sabu (Namosain),"Nusa Tenggara Timur, Nusa Tenggara Timur","PU, PL","POLYGON ((-10.161734143960082 123.49533698051657, -10.225662607941478 123.49533054890867, -10.225662607941478 123.55986945109134, -10.202262657367754 123.55986709690828, -10.202262657367754 123.5964670919772, -10.138334102133767 123.59646067591295, -10.138334102133767 123.53193932408705, -10.161734143960082 123.53193697558767, -10.161734143960082 123.49533698051657))","['88940490a7fffff', '8894049143fffff', '8894049115fffff', '88940490c3fffff', '889404911bfffff', '88940490e7fffff', '889404913bfffff', '8894049021fffff', '8894049107fffff', '8894049153fffff', '8894049025fffff', '8894049155fffff', '8894049acdfffff', '88940490c7fffff', '88940491c7fffff', '88940491a9fffff', '8894049139fffff', '88940491dbfffff', '8894049031fffff', '88940490c5fffff', '889404903bfffff', '8894049039fffff', '88940491edfffff', '88940491d1fffff', '88940491ebfffff', '8894049111fffff', '88940491e1fffff', '88940491c1fffff', '889404915dfffff', '889404910bfffff', '88940490adfffff', '8894049089fffff', '889404903dfffff', '88940490ebfffff', '889404902bfffff', '8894049ad3fffff', '8894049011fffff', '8894049015fffff', '88940491adfffff', '8894049addfffff', '8894049acbfffff', '88940490a9fffff', '88940490cdfffff', '88940491c5fffff', '88940490a5fffff', '889404918bfffff', '8894049157fffff', '8894049181fffff', '8894049007fffff', '88940491e9fffff', '8894049191fffff', '88940490edfffff', '88940491a1fffff', '88940491e3fffff', '8894049113fffff', '88940491d9fffff', '8894049117fffff', '8894049017fffff', '889404900dfffff', '8894049199fffff', '88940491d3fffff', '8894049003fffff', '88940491cbfffff', '88940491d5fffff', '8894049127fffff', '8894049105fffff', '8894049023fffff', '8894049013fffff', '8894049027fffff', '889404901dfffff', '889404910dfffff', '8894049185fffff', '88940491c9fffff', '8894049137fffff', '8894049001fffff', '88940491cdfffff', '8894049035fffff', '8894049ac9fffff', '8894049085fffff', '88940490a1fffff', '889404915bfffff', '889404912bfffff', '889404919dfffff', '889404900bfffff', '8894049151fffff', '8894049193fffff', '889404919bfffff', '88940491ddfffff', '8894049121fffff', '88940490e1fffff', '8894049119fffff', '88940491e7fffff', '88940490e9fffff', '8894049135fffff', '8894049189fffff', '8894049123fffff', '8894049033fffff', '8894049037fffff', '889404918dfffff', '8894049133fffff', '88940491d7fffff', '889404911dfffff', '88940490c1fffff', '8894049005fffff', '8894049adbfffff', '889404913dfffff', '8894049131fffff', '88940491e5fffff', '8894049103fffff', '8894049109fffff', '88940491c3fffff', '889404902dfffff', '8894049ad9fffff', '88940490e3fffff', '8894049ad1fffff', '8894049101fffff', '889404908dfffff', '88940490e5fffff']"
