port,h3
Batutua,615096575850446847
Batutua,615096575170969599
Batutua,615096575726714879
Batutua,615096575217106943
Batutua,615096575389073407
Batutua,615096575860932607
Batutua,615096575189843967
Batutua,615096575928041471
Batutua,615096575359713279
Batutua,615096575149998079
Batutua,615096575917555711
Batutua,615096575856738303
Batutua,615096575854641151
Batutua,615096575737200639
Batutua,615096575741394943
Batutua,615096575166775295
Batutua,615096575235981311
Batutua,615096575219204095
Batutua,615096575252758527
Batutua,615096575256952831
Batutua,615096575175163903
Batutua,615096575147900927
Batutua,615096575156289535
Batutua,615096575242272767
Batutua,615096575858835455
Batutua,615096575215009791
Batutua,615096575919652863
Batutua,615096575221301247
Batutua,615096575229689855
Batutua,615096575154192383
Batutua,615096575852543999
Batutua,615096575223398399
Batutua,615096575173066751
Batutua,615096575187746815
Batutua,615096575204524031
Batutua,615096575158386687
Batutua,615096575718326271
Batutua,615096575206621183
Batutua,615096575248564223
Batutua,615096575863029759
Batutua,615096575162580991
Batutua,615096575152095231
Batutua,615096575821086719
Batutua,615096575351324671
Batutua,615096575823183871
Batutua,615096575829475327
Batutua,615096575739297791
Batutua,615096575816892415
Batutua,615096575208718335
Batutua,615096575743492095
Batutua,615096575735103487
Batutua,615096575733006335
Batutua,615096575393267711
Batutua,615096575212912639
Batutua,615096575145803775
Batutua,615096575164678143
Batutua,615096575231787007
Batutua,615096575246467071
Batutua,615096575238078463
Batutua,615096575380684799
Batutua,615096575921750015
Batutua,615096575240175615
Batutua,615096575930138623
Batutua,615096575233884159
Batutua,615096575508611071
Batutua,615096575225495551
Batutua,615096575168872447
Batutua,615096575745589247
Batutua,615096575923847167
Ndao,615096562881658879
Ndao,615096560472031231
Ndao,615096560461545471
Ndao,615096560478322687
Ndao,615096560474128383
Ndao,615096560417505279
Ndao,615096566711058431
Ndao,615096562866978815
Ndao,615096560415408127
Ndao,615096560425893887
Ndao,615096560407019519
Ndao,615096560402825215
Ndao,615096560465739775
Ndao,615096560482516991
Ndao,615096560383950847
Ndao,615096560392339455
Ndao,615096562894241791
Ndao,615096560381853695
Ndao,615096560427991039
Ndao,615096566740418559
Ndao,615096560432185343
Ndao,615096560390242303
Ndao,615096560451059711
Ndao,615096566706864127
Ndao,615096560386047999
Ndao,615096560495099903
Ndao,615096566719447039
Ndao,615096560975347711
Ndao,615096566776070143
Ndao,615096562887950335
Ndao,615096560411213823
Ndao,615096566715252735
Ndao,615096560442671103
Ndao,615096560490905599
Ndao,615096566746710015
Ndao,615096566713155583
Ndao,615096560467836927
Ndao,615096560436379647
Ndao,615096560220372991
Ndao,615096560486711295
Ndao,615096560421699583
Ndao,615096560954376191
Ndao,615096560440573951
Ndao,615096566708961279
Ndao,615096566742515711
Ndao,615096560459448319
Ndao,615096560956473343
Ndao,615096560469934079
Ndao,615096560484614143
Ndao,615096560419602431
Ndao,615096562883756031
Ndao,615096560394436607
Ndao,615096560455254015
Ndao,615096560438476799
Ndao,615096562892144639
Ndao,615096560488808447
Ndao,615096560457351167
Ndao,615096560493002751
Ndao,615096562885853183
Ndao,615096560476225535
Ndao,615096560453156863
Ndao,615096560973250559
Ndao,615096560448962559
Ndao,615096566750904319
Ndao,615096560444768255
Ndao,615096560958570495
Ndao,615096562890047487
Ndao,615096566717349887
Ndao,615096560423796735
Ndao,615096563007487999
Ndao,615096560388145151
Baa,615096573723934719
Baa,615096573587619839
Baa,615096573205938175
Baa,615096573212229631
Baa,615096573008805887
Baa,615096573709254655
Baa,615096573707157503
Baa,615096573770072063
Baa,615096573088497663
Baa,615096573780557823
Baa,615096573059137535
Baa,615096573715546111
Baa,615096573084303359
Baa,615096573021388799
Baa,615096573705060351
Baa,615096573782654975
Baa,615096573772169215
Baa,615096573598105599
Baa,615096573711351807
Baa,615096573101080575
Baa,615096573006708735
Baa,615096573596008447
Baa,615096573082206207
Baa,615096573673603071
Baa,615096573199646719
Baa,615096573243686911
Baa,615096573094789119
Baa,615096573004611583
Baa,615096573023485951
Baa,615096573774266367
Baa,615096573017194495
Baa,615096573027680255
Baa,615096573681991679
